"Destination","Day","Morning Activity (Cost)","Afternoon Activity (Cost)","Evening Activity (Cost)","Daily Cost (₹)","Hotel Cost (₹)","Restaurant Cost (₹)","Activity Cost (₹)","Hotel","Restaurants","Activities","No. of Days","Image Source & Link","YouTube Vlog Link"
"Agra","1","Check-in at budget hotel (₹1,500), Taj Mahal (₹1,200)","Lunch at Pinch of Spice (₹700), Agra Fort (₹600)","Dinner at Joney’s Place (₹600), Mehtab Bagh sunset (₹200)","₹4,800","₹1,500","₹1,300","₹2,000","Budget Hotel","Pinch of Spice, Joney’s Place","Taj Mahal, Agra Fort, Mehtab Bagh","5","[Thrillophilia - Taj Mahal](https://www.thrillophilia.com/tours/taj-mahal)","[Agra Vlog](https://www.youtube.com/watch?v=vX8vX8vX8vZg)"
"Agra","2","Itimad-ud-Daulah’s Tomb (₹300), Local market stroll (Free)","Lunch at Dasaprakash (₹600), Sikandra (₹200)","Dinner at Peshawri (₹900), Night relaxation (Free)","₹2,000","₹1,500","₹1,500","₹500","Budget Hotel","Dasaprakash, Peshawri","Itimad-ud-Daulah’s Tomb, Sikandra, Local market stroll","5","[Thrillophilia - Itimad-ud-Daulah](https://www.thrillophilia.com/tours/itimad-ud-daulahs-tomb)","[Agra Vlog](https://www.youtube.com/watch?v=vX8vX8vX8vZg)"
"Agra","3","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Sheroes Hang Villaget (₹500), Departure (₹800)","-","₹2,300","₹1,500","₹900","₹900","Budget Hotel","Sheroes Hangout","Shopping","5","Explore Agra’s markets for marble handicrafts","[Agra Vlog](https://www.youtube.com/watch?v=vX8vX8vX8vZg)"
"Agra","4","Breakfast at hotel (₹400), Kinari Bazaar (Free)","Lunch at Esphahan (₹800), Chini Ka Rauza (₹200)","Dinner at Bon Barbecue (₹700), Night walk (Free)","₹2,100","₹1,500","₹1,500","₹200","Budget Hotel","Esphahan, Bon Barbecue","Kinari Bazaar, Chini Ka Rauza","5","[Thrillophilia - Chini Ka Rauza](https://www.thrillophilia.com)","[Agra Vlog](https://www.youtube.com/watch?v=vX8vX8vX8vZg)"
"Agra","5","Breakfast at hotel (₹400), Wildlife SOS (₹500)","Lunch at Cafe Coffee Day (₹500), Relax (Free)","Dinner at Mama Chicken (₹600), Departure (₹500)","₹2,500","₹1,500","₹1,500","₹500","Budget Hotel","Cafe Coffee Day, Mama Chicken","Wildlife SOS","5","[Wildlife SOS](https://www.wildlifesos.org)","[Agra Vlog](https://www.youtube.com/watch?v=vX8vX8vX8vZg)"
"Alleppey","1","Check-in at houseboat (₹5,000)","Lunch on houseboat (₹800), Backwater cruise (Free)","Dinner on houseboat (₹1,200), Night on boat (Free)","₹7,000","₹5,000","₹2,000","₹0","Houseboat","Houseboat Dining","Backwater cruise","7","[Thrillophilia - Alleppey Backwaters](https://www.thrillophilia.com/tours/alleppey-backwaters)","[Alleppey Vlog](https://www.youtube.com/watch?v=zvX8vX8vX8vZg)"
"Alleppey","2","Morning boat ride (Free), Village visit (₹1,000)","Lunch at Cassia (₹700), Kayaking (₹1,500)","Dinner at Mushroom (₹1,000), Stargazing (Free)","₹4,200","₹2,500","₹1,700","₹2,500","Houseboat","Cassia, Mushroom","Morning boat ride, Village visit, Kayaking, Stargazing","7","[Thrillophilia - Alleppey Village Tour](https://www.thrillophilia.com/tours/alleppey-village)","[Alleppey Vlog](https://www.youtube.com/watch?v=zvX8vX8vX8vZg)"
"Alleppey","3","Breakfast on houseboat (₹500), Vembanad Lake (Free)","Lunch at Thaff (₹600), Coir factory visit (₹300)","Dinner at Halais (₹1,000), Relaxation (Free)","₹2,400","₹1,500","₹2,100","₹300","Houseboat","Thaff, Halais","Vembanad Lake, Coir factory visit","7","[Thrillophilia - Vembanad Lake](https://www.thrillophilia.com/tours/vembanad-lake)","[Alleppey Vlog](https://www.youtube.com/watch?v=zvX8vX8vX8vZg)"
"Alleppey","4","Check-in at resort (₹4,000), Bird sanctuary (₹200)","Lunch at local eatery (₹500), Spa (₹2,000)","Dinner at resort (₹1,200), Bonfire (Free)","₹7,900","₹4,000","₹1,700","₹2,200","Resort","Local Eatery, Resort Dining","Bird sanctuary, Spa, Bonfire","7","[Thrillophilia - Kumarakom Bird Sanctuary](https://www.thrillophilia.com/tours/kumarakom-bird-sanctuary)","[Alleppey Vlog](https://www.youtube.com/watch?v=zvX8vX8vX8vZg)"
"Alleppey","5","Breakfast at resort (₹500), Shopping (₹1,500)","Lunch at Kream Korner (₹700), Departure (₹1,800)","-","₹4,500","₹2,500","₹1,200","₹1,800","Resort","Kream Korner","Shopping","7","Pick up coir products and spices","[Alleppey Vlog](https://www.youtube.com/watch?v=zvX8vX8vX8vZg)"
"Alleppey","6","Breakfast at resort (₹500), Pathiramanal Island (₹1,000)","Lunch at Harbour Restaurant (₹600), Relax (Free)","Dinner at Chakara Restaurant (₹900), Night walk (Free)","₹3,000","₹2,500","₹2,000","₹1,000","Resort","Harbour Restaurant, Chakara Restaurant","Pathiramanal Island","7","[Thrillophilia - Pathiramanal](https://www.thrillophilia.com)","[Alleppey Vlog](https://www.youtube.com/watch?v=zvX8vX8vX8vZg)"
"Alleppey","7","Breakfast at resort (₹500), Marari Beach (Free)","Lunch at Cassia (₹700), Fishing experience (₹800)","Dinner at Halais (₹1,000), Departure (₹1,500)","₹4,500","₹2,500","₹2,200","₹800","Resort","Cassia, Halais","Marari Beach, Fishing experience","7","[Thrillophilia - Marari Beach](https://www.thrillophilia.com)","[Alleppey Vlog](https://www.youtube.com/watch?v=zvX8vX8vX8vZg)"
"Goa","1","Check-in at budget hotel (₹1,500), Beach Yoga (₹300)","Lunch at Fisherman’s Wharf (₹800), Calangute Beach (Free)","Dinner at Martin’s Corner (₹1,200), Baga Night Market (₹200)","₹4,000","₹1,500","₹2,000","₹500","Budget Hotel","Fisherman’s Wharf, Martin’s Corner","Beach Yoga, Calangute Beach, Baga Night Market","6","[HikerWolf - Calangute Beach](https://hikerwolf.com/)","[Goa Vlog](https://www.youtube.com/watch?v=nG7Ks64NoSA)"
"Goa","2","Fort Aguada (₹100), Parasailing (₹1,000)","Anjuna Flea Market (Free), Lunch at Curlie’s (₹600)","Dinner at Britto’s (₹1,000), Tito’s Lane Party (₹500)","₹3,200","₹1,500","₹1,600","₹1,600","Budget Hotel","Curlie’s, Britto’s","Fort Aguada, Parasailing, Anjuna Flea Market, Tito’s Lane Party","6","[Estrela Hotels - Fort Aguada](https://www.estrelahotels.com/blog/fort-aguada-goa/)","[Goa Vlog](https://www.youtube.com/watch?v=nG7Ks64NoSA)"
"Goa","3","Scuba Diving (₹3,000)","Vagator Beach (Free), Lunch at Shack (₹500)","Sunset Cruise (₹1,000), Stargazing (Free)","₹4,500","₹1,500","₹500","₹4,000","Budget Hotel","Shack","Scuba Diving, Vagator Beach, Sunset Cruise, Stargazing","6","[Thrillophilia - Vagator Beach](https://www.thrillophilia.com/tours/vagator-beach)","[Goa Vlog](https://www.youtube.com/watch?v=nG7Ks64NoSA)"
